[PERF_PROFILE] cyc=55000000 itlb_lookups=23714476 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39019 ptw_busy_cycles=39768247 ptw_faults=957 fe_stall_total=29003190 fe_stall_xlate=22701059 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=544635 flush_bru=0 flush_satp=7 dtlb_lookups=18326406 dtlb_misses=478076 dcache_accesses=9421479 dcache_misses=442679
[PERF_PROFILE] cyc=56000000 itlb_lookups=24212894 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39049 ptw_busy_cycles=40768244 ptw_faults=960 fe_stall_total=29501608 fe_stall_xlate=23199477 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=546951 flush_bru=0 flush_satp=7 dtlb_lookups=18887168 dtlb_misses=478169 dcache_accesses=9750519 dcache_misses=442753
[PERF_PROFILE] cyc=57000000 itlb_lookups=24711632 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39067 ptw_busy_cycles=41768244 ptw_faults=960 fe_stall_total=30000346 fe_stall_xlate=23698215 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=549148 flush_bru=0 flush_satp=7 dtlb_lookups=19450576 dtlb_misses=478209 dcache_accesses=10081072 dcache_misses=442805
[PERF_PROFILE] cyc=58000000 itlb_lookups=25210068 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39094 ptw_busy_cycles=42768242 ptw_faults=962 fe_stall_total=30498782 fe_stall_xlate=24196651 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=551461 flush_bru=0 flush_satp=7 dtlb_lookups=20011102 dtlb_misses=478289 dcache_accesses=10409979 dcache_misses=442881
[PERF_PROFILE] cyc=59000000 itlb_lookups=25708808 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39113 ptw_busy_cycles=43768240 ptw_faults=964 fe_stall_total=30997522 fe_stall_xlate=24695391 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=553666 flush_bru=0 flush_satp=7 dtlb_lookups=20574440 dtlb_misses=478350 dcache_accesses=10740459 dcache_misses=442931
[PERF_PROFILE] cyc=60000000 itlb_lookups=26207381 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39141 ptw_busy_cycles=44768238 ptw_faults=966 fe_stall_total=31496095 fe_stall_xlate=25193964 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=555661 flush_bru=0 flush_satp=7 dtlb_lookups=21137288 dtlb_misses=478431 dcache_accesses=11070780 dcache_misses=443007
[PERF_PROFILE] cyc=61000000 itlb_lookups=26706409 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39161 ptw_busy_cycles=45768236 ptw_faults=968 fe_stall_total=31995123 fe_stall_xlate=25692992 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=557193 flush_bru=0 flush_satp=7 dtlb_lookups=21704789 dtlb_misses=478493 dcache_accesses=11403899 dcache_misses=443057
[PERF_PROFILE] cyc=62000000 itlb_lookups=27205083 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39194 ptw_busy_cycles=46768233 ptw_faults=971 fe_stall_total=32493797 fe_stall_xlate=26191666 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=558902 flush_bru=0 flush_satp=7 dtlb_lookups=22266845 dtlb_misses=478589 dcache_accesses=11733690 dcache_misses=443142
[PERF_PROFILE] cyc=63000000 itlb_lookups=27704117 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39215 ptw_busy_cycles=47768232 ptw_faults=972 fe_stall_total=32992831 fe_stall_xlate=26690700 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=560397 flush_bru=0 flush_satp=7 dtlb_lookups=22833085 dtlb_misses=478643 dcache_accesses=12066007 dcache_misses=443198
[PERF_PROFILE] cyc=64000000 itlb_lookups=28202848 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=39247 ptw_busy_cycles=48768229 ptw_faults=975 fe_stall_total=33491562 fe_stall_xlate=27189431 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=562016 flush_bru=0 flush_satp=7 dtlb_lookups=23396412 dtlb_misses=478739 dcache_accesses=12396602 dcache_misses=443270
